League,Team Name,playerName,country,apps,url
2019–20 Premier League,Arsenal,Bernd Leno,Germany,8,https://en.wikipedia.org/wiki/Bernd_Leno
2019–20 Premier League,Arsenal,Héctor Bellerín,Spain,4,https://en.wikipedia.org/wiki/H%C3%A9ctor_Beller%C3%ADn
2019–20 Premier League,Arsenal,Kieran Tierney,Scotland,16,https://en.wikipedia.org/wiki/Kieran_Tierney
2019–20 Premier League,Arsenal,Mohamed Elneny,Egypt,79,https://en.wikipedia.org/wiki/Mohamed_Elneny
2019–20 Premier League,Arsenal,Sokratis Papastathopoulos,Greece,90,https://en.wikipedia.org/wiki/Sokratis_Papastathopoulos
2019–20 Premier League,Arsenal,Henrikh Mkhitaryan,Armenia,88,https://en.wikipedia.org/wiki/Henrikh_Mkhitaryan
2019–20 Premier League,Arsenal,Dani Ceballos,Spain,11,https://en.wikipedia.org/wiki/Dani_Ceballos
2019–20 Premier League,Arsenal,Alexandre Lacazette,France,16,https://en.wikipedia.org/wiki/Alexandre_Lacazette
2019–20 Premier League,Arsenal,Mesut Özil,Germany,92,https://en.wikipedia.org/wiki/Mesut_%C3%96zil
2019–20 Premier League,Arsenal,Lucas Torreira,Uruguay,26,https://en.wikipedia.org/wiki/Lucas_Torreira
2019–20 Premier League,Arsenal,Pierre-Emerick Aubameyang,Gabon,65,https://en.wikipedia.org/wiki/Pierre-Emerick_Aubameyang
2019–20 Premier League,Arsenal,Ainsley Maitland-Niles,England,5,https://en.wikipedia.org/wiki/Ainsley_Maitland-Niles
2019–20 Premier League,Arsenal,Rob Holding,England,0,https://en.wikipedia.org/wiki/Rob_Holding
2019–20 Premier League,Arsenal,Cédric Soares,Portugal,33,https://en.wikipedia.org/wiki/C%C3%A9dric_Soares
2019–20 Premier League,Arsenal,Nicolas Pépé,Ivory_Coast,24,https://en.wikipedia.org/wiki/Nicolas_P%C3%A9p%C3%A9
2019–20 Premier League,Arsenal,Shkodran Mustafi,Germany,20,https://en.wikipedia.org/wiki/Shkodran_Mustafi
2019–20 Premier League,Arsenal,Calum Chambers,England,3,https://en.wikipedia.org/wiki/Calum_Chambers
2019–20 Premier League,Arsenal,Pablo  Marí,Spain,0,https://en.wikipedia.org/wiki/Pablo_Mar%C3%AD
2019–20 Premier League,Arsenal,David Luiz,Brazil,57,https://en.wikipedia.org/wiki/David_Luiz
2019–20 Premier League,Arsenal,Reiss Nelson,England,0,https://en.wikipedia.org/wiki/Reiss_Nelson
2019–20 Premier League,Arsenal,Emiliano Martínez,Argentina,0,https://en.wikipedia.org/wiki/Emiliano_Mart%C3%ADnez
2019–20 Premier League,Arsenal,Konstantinos Mavropanos,Greece,0,https://en.wikipedia.org/wiki/Konstantinos_Mavropanos
2019–20 Premier League,Arsenal,Joe Willock,England,0,https://en.wikipedia.org/wiki/Joe_Willock
2019–20 Premier League,Arsenal,Matteo Guendouzi,France,0,https://en.wikipedia.org/wiki/Matteo_Guendouzi
2019–20 Premier League,Arsenal,Eddie Nketiah,England,0,https://en.wikipedia.org/wiki/Eddie_Nketiah
2019–20 Premier League,Arsenal,Sead Kolašinac,Bosnia_and_Herzegovina,35,https://en.wikipedia.org/wiki/Sead_Kola%C5%A1inac
2019–20 Premier League,Arsenal,Emile Smith Rowe,England,0,https://en.wikipedia.org/wiki/Emile_Smith_Rowe
2019–20 Premier League,Arsenal,Matt Macey,England,0,https://en.wikipedia.org/wiki/Matt_Macey
2019–20 Premier League,Arsenal,Granit Xhaka,Switzerland,89,https://en.wikipedia.org/wiki/Granit_Xhaka
2019–20 Premier League,Arsenal,Gabriel Martinelli,Brazil,0,https://en.wikipedia.org/wiki/Gabriel_Martinelli
2019–20 Premier League,Arsenal,Bukayo Saka,England,4,https://en.wikipedia.org/wiki/Bukayo_Saka
2019–20 Premier League,Arsenal,William Saliba,France,0,https://en.wikipedia.org/wiki/William_Saliba
