League,Team,Player,Country,Appearances,URL
Brazil,2019 Santos FC season,John Victor,Brazil,0,https://en.wikipedia.org/wiki/John_Victor_Maciel_Furtado
Brazil,2019 Santos FC season,João Paulo,Brazil,0,https://en.wikipedia.org/wiki/Jo%C3%A3o_Paulo_Silva_Martins
Brazil,2019 Santos FC season,Gustavo Henrique,Brazil,0,https://en.wikipedia.org/wiki/Gustavo_Henrique
Brazil,2019 Santos FC season,Vanderlei,Brazil,0,https://en.wikipedia.org/wiki/Vanderlei_Farias_da_Silva
Brazil,2019 Santos FC season,Luiz Felipe,Brazil,0,https://en.wikipedia.org/wiki/Luiz_Felipe_do_Nascimento_dos_Santos
Brazil,2019 Santos FC season,Éverson,Brazil,0,https://en.wikipedia.org/wiki/%C3%89verson_Felipe_Marques_Pires
Brazil,2019 Santos FC season,Luan Peres,Brazil,0,https://en.wikipedia.org/wiki/Luan_Peres
Brazil,2019 Santos FC season,Victor Ferraz (c),Brazil,0,https://en.wikipedia.org/wiki/Victor_Ferraz
Brazil,2019 Santos FC season,Jorge,Brazil,1,https://en.wikipedia.org/wiki/Jorge_(footballer)
Brazil,2019 Santos FC season,Felipe Aguilar,Colombia,3,https://en.wikipedia.org/wiki/Felipe_Aguilar_(footballer)
Brazil,2019 Santos FC season,Lucas Veríssimo,Brazil,0,https://en.wikipedia.org/wiki/Lucas_Ver%C3%ADssimo
Brazil,2019 Santos FC season,Wagner Leonardo,Brazil,0,https://en.wikipedia.org/wiki/Wagner_Leonardo_Calvelo_de_Souza
Brazil,2019 Santos FC season,Felipe Jonatan,Brazil,0,https://en.wikipedia.org/wiki/Felipe_Jonatan
Brazil,2019 Santos FC season,Pará,Brazil,0,"https://en.wikipedia.org/wiki/Par%C3%A1_(footballer,_born_1986)"
Brazil,2019 Santos FC season,Alison,Brazil,0,https://en.wikipedia.org/wiki/Alison_Lopes_Ferreira
Brazil,2019 Santos FC season,Matheus Ribeiro,Brazil,0,https://en.wikipedia.org/wiki/Matheus_Antunes_Ribeiro
Brazil,2019 Santos FC season,Jobson,Brazil,0,https://en.wikipedia.org/wiki/Jobson_Souza_Santos
Brazil,2019 Santos FC season,Sandry,Brazil,0,https://en.wikipedia.org/wiki/Sandry_Roberto
Brazil,2019 Santos FC season,Yeferson Soteldo,Venezuela,18,https://en.wikipedia.org/wiki/Yeferson_Soteldo
Brazil,2019 Santos FC season,Lucas Lourenço,Brazil,0,https://en.wikipedia.org/wiki/Lucas_Louren%C3%A7o
Brazil,2019 Santos FC season,Diego Pituca,Brazil,0,https://en.wikipedia.org/wiki/Diego_Pituca
Brazil,2019 Santos FC season,Jean Mota,Brazil,0,https://en.wikipedia.org/wiki/Jean_Mota
Brazil,2019 Santos FC season,Christian Cueva,Peru,63,https://en.wikipedia.org/wiki/Christian_Cueva
Brazil,2019 Santos FC season,Pato Sánchez,Uruguay,38,https://en.wikipedia.org/wiki/Carlos_Andr%C3%A9s_S%C3%A1nchez
Brazil,2019 Santos FC season,Evandro,Brazil,0,https://en.wikipedia.org/wiki/Evandro_Goebel
Brazil,2019 Santos FC season,Kaio Jorge,Brazil,0,https://en.wikipedia.org/wiki/Kaio_Jorge
Brazil,2019 Santos FC season,Tailson,Brazil,0,https://en.wikipedia.org/wiki/Tailson_Pinto_Gon%C3%A7alves
Brazil,2019 Santos FC season,Eduardo Sasha,Brazil,0,https://en.wikipedia.org/wiki/Eduardo_Sasha
Brazil,2019 Santos FC season,Marinho,Brazil,0,"https://en.wikipedia.org/wiki/Marinho_(footballer,_born_1990)"
Brazil,2019 Santos FC season,Derlis González,Paraguay,41,https://en.wikipedia.org/wiki/Derlis_Gonz%C3%A1lez
Brazil,2019 Santos FC season,Yuri Alberto,Brazil,0,https://en.wikipedia.org/wiki/Yuri_Alberto
