League,Team Name,playerName,country,apps,url
2019–20 La Liga,Alavés,Ismael Gutiérrez (on loan from Betis),Royal_Spanish_Football_Federation,0,https://en.wikipedia.org/wiki/Ismael_Guti%C3%A9rrez_Montilla
2019–20 La Liga,Athletic Bilbao,Oihan Sancet,,,
2019–20 La Liga,Atlético Madrid,Šime Vrsaljko,Croatia,45,https://en.wikipedia.org/wiki/%C5%A0ime_Vrsaljko
2019–20 La Liga,Barcelona,Junior Firpo,Spain,0,https://en.wikipedia.org/wiki/Junior_Firpo
2019–20 La Liga,Celta Vigo,Iván Villar,Royal_Spanish_Football_Federation,0,https://en.wikipedia.org/wiki/Iv%C3%A1n_Villar
2019–20 La Liga,Eibar,Álvaro Tejero,Royal_Spanish_Football_Federation,0,https://en.wikipedia.org/wiki/%C3%81lvaro_Tejero
2019–20 La Liga,Espanyol,Sébastien Corchia (on loan from Sevilla),French_Football_Federation,1,https://en.wikipedia.org/wiki/S%C3%A9bastien_Corchia
2019–20 La Liga,Getafe,Kenedy (on loan from Chelsea),Brazilian_Football_Confederation,0,https://en.wikipedia.org/wiki/Kenedy_(footballer)
2019–20 La Liga,Granada,Carlos Fernández (on loan from Sevilla),Royal_Spanish_Football_Federation,0,"https://en.wikipedia.org/wiki/Carlos_Fern%C3%A1ndez_(footballer,_born_1996)"
2019–20 La Liga,Leganés,Óscar (on loan from Real Madrid),Royal_Spanish_Football_Federation,2,"https://en.wikipedia.org/wiki/%C3%93scar_Rodr%C3%ADguez_(footballer,_born_1998)"
2019–20 La Liga,Levante,José Campaña,Royal_Spanish_Football_Federation,0,https://en.wikipedia.org/wiki/Jos%C3%A9_Campa%C3%B1a
2019–20 La Liga,"Camilo Cano, at La Nucía[a]",ERROR,ERROR,ERROR,ERROR
2019–20 La Liga,Mallorca,Cucho Hernández (on loan from Watford),Colombian_Football_Federation,0,https://en.wikipedia.org/wiki/Cucho_Hern%C3%A1ndez
2019–20 La Liga,Osasuna,José Arnaiz (on loan from Leganés),Royal_Spanish_Football_Federation,0,https://en.wikipedia.org/wiki/Jos%C3%A9_Arnaiz
2019–20 La Liga,Real Betis,Carles Aleñá (on loan from Barcelona),Royal_Spanish_Football_Federation,0,https://en.wikipedia.org/wiki/Carles_Ale%C3%B1%C3%A1
2019–20 La Liga,Real Madrid,Rodrygo,Brazil,3,https://en.wikipedia.org/wiki/Rodrygo
2019–20 La Liga,Alfredo Di Stéfano[a],ERROR,ERROR,ERROR,ERROR
2019–20 La Liga,Real Sociedad,Andoni Zubiaurre,Royal_Spanish_Football_Federation,0,https://en.wikipedia.org/w/index.php?title=Andoni_Zubiaurre_Dorronsoro&action=edit&redlink=1
2019–20 La Liga,Sevilla,Javi Díaz,Royal_Spanish_Football_Federation,0,https://en.wikipedia.org/wiki/Javi_D%C3%ADaz
2019–20 La Liga,Valencia,Rubén Sobrino,Spain,0,https://en.wikipedia.org/wiki/Rub%C3%A9n_Sobrino
2019–20 La Liga,Valladolid,Stiven Plaza,Ecuadorian_Football_Federation,2,https://en.wikipedia.org/wiki/Stiven_Plaza
2019–20 La Liga,Villarreal,Mariano Barbosa,Argentine_Football_Association,0,https://en.wikipedia.org/wiki/Mariano_Barbosa
