League,Team,Player,Country,Appearances,URL
Premier League,2019–20 Manchester United F.C. season,Eric Bailly,Ivory_Coast,36,https://en.wikipedia.org/wiki/Eric_Bailly
Premier League,2019–20 Manchester United F.C. season,Phil Jones,England,27,"https://en.wikipedia.org/wiki/Phil_Jones_(footballer,_born_1992)"
Premier League,2019–20 Manchester United F.C. season,Victor Lindelöf,Sweden,38,https://en.wikipedia.org/wiki/Victor_Lindel%C3%B6f
Premier League,2019–20 Manchester United F.C. season,Harry Maguire (c)[d],England,30,https://en.wikipedia.org/wiki/Harry_Maguire
Premier League,2019–20 Manchester United F.C. season,Anthony Martial,France,25,https://en.wikipedia.org/wiki/Anthony_Martial
Premier League,2019–20 Manchester United F.C. season,Andreas Pereira,Brazil,1,https://en.wikipedia.org/wiki/Andreas_Pereira
Premier League,2019–20 Manchester United F.C. season,Juan Mata,Spain,41,https://en.wikipedia.org/wiki/Juan_Mata
Premier League,2019–20 Manchester United F.C. season,Chris Smalling,England,31,https://en.wikipedia.org/wiki/Chris_Smalling
Premier League,2019–20 Manchester United F.C. season,Lee Grant,England,0,"https://en.wikipedia.org/wiki/Lee_Grant_(footballer,_born_1983)"
Premier League,2019–20 Manchester United F.C. season,David de Gea,Spain,45,https://en.wikipedia.org/wiki/David_de_Gea
Premier League,2019–20 Manchester United F.C. season,Jesse Lingard,England,24,https://en.wikipedia.org/wiki/Jesse_Lingard
Premier League,2019–20 Manchester United F.C. season,Alexis Sánchez,Chile,136,https://en.wikipedia.org/wiki/Alexis_S%C3%A1nchez
Premier League,2019–20 Manchester United F.C. season,Diogo Dalot,Portugal,0,https://en.wikipedia.org/wiki/Diogo_Dalot
Premier League,2019–20 Manchester United F.C. season,Paul Pogba,France,75,https://en.wikipedia.org/wiki/Paul_Pogba
Premier League,2019–20 Manchester United F.C. season,Marcus Rashford,England,40,https://en.wikipedia.org/wiki/Marcus_Rashford
Premier League,2019–20 Manchester United F.C. season,Daniel James,Wales,17,https://en.wikipedia.org/wiki/Daniel_James_(footballer)
Premier League,2019–20 Manchester United F.C. season,Marcos Rojo,Argentina,61,https://en.wikipedia.org/wiki/Marcos_Rojo
Premier League,2019–20 Manchester United F.C. season,Fred,Brazil,11,"https://en.wikipedia.org/wiki/Fred_(footballer,_born_1993)"
Premier League,2019–20 Manchester United F.C. season,Timothy Fosu-Mensah,Netherlands,3,https://en.wikipedia.org/wiki/Timothy_Fosu-Mensah
Premier League,2019–20 Manchester United F.C. season,Nathan Bishop,England,0,https://en.wikipedia.org/wiki/Nathan_Bishop
Premier League,2019–20 Manchester United F.C. season,Luke Shaw,England,8,https://en.wikipedia.org/wiki/Luke_Shaw
Premier League,2019–20 Manchester United F.C. season,Mason Greenwood,England,1,https://en.wikipedia.org/wiki/Mason_Greenwood
