League,Team,Player,Country,Appearances,URL
2019–20 Eredivisie,2019–20 ADO Den Haag season,Trevor David,Netherlands,0,https://en.wikipedia.org/wiki/Trevor_David
2019–20 Eredivisie,2019–20 ADO Den Haag season,Nick Kuipers,Netherlands,0,"https://en.wikipedia.org/wiki/Nick_Kuipers_(footballer,_born_1992)"
2019–20 Eredivisie,2019–20 ADO Den Haag season,Sam van Huffel,Netherlands,0,https://en.wikipedia.org/wiki/Sam_van_Huffel
2019–20 Eredivisie,2019–20 ADO Den Haag season,Delano Ladan,Netherlands,0,https://en.wikipedia.org/wiki/Delano_Ladan
2019–20 Eredivisie,2019–20 ADO Den Haag season,Melvyn Lorenzen,Uganda,0,https://en.wikipedia.org/wiki/Melvyn_Lorenzen
2019–20 Eredivisie,2019–20 ADO Den Haag season,Indy Groothuizen,Netherlands,0,https://en.wikipedia.org/wiki/Indy_Groothuizen
2019–20 Eredivisie,2019–20 ADO Den Haag season,Sheraldo Becker,Netherlands,0,https://en.wikipedia.org/wiki/Sheraldo_Becker
2019–20 Eredivisie,2019–20 ADO Den Haag season,Kyle Ebecilio,Netherlands,0,https://en.wikipedia.org/wiki/Kyle_Ebecilio
2019–20 Eredivisie,2019–20 ADO Den Haag season,Wilfried Kanon,Ivory_Coast,49,https://en.wikipedia.org/wiki/Wilfried_Kanon
2019–20 Eredivisie,2019–20 ADO Den Haag season,Abdenasser El Khayati,Netherlands,0,https://en.wikipedia.org/wiki/Abdenasser_El_Khayati
2019–20 Eredivisie,2019–20 AFC Ajax season,Perr Schuurs,Royal_Dutch_Football_Association,0,https://en.wikipedia.org/wiki/Perr_Schuurs
2019–20 Eredivisie,2019–20 AFC Ajax season,Kik Pierie,Royal_Dutch_Football_Association,0,https://en.wikipedia.org/wiki/Kik_Pierie
2019–20 Eredivisie,2019–20 AFC Ajax season,Carel Eiting,Royal_Dutch_Football_Association,0,https://en.wikipedia.org/wiki/Carel_Eiting
2019–20 Eredivisie,2019–20 AFC Ajax season,David Neres,Brazilian_Football_Confederation,Total,https://en.wikipedia.org/wiki/David_Neres
2019–20 Eredivisie,2019–20 AFC Ajax season,Joël Veltman,Royal_Dutch_Football_Association,27,https://en.wikipedia.org/wiki/Jo%C3%ABl_Veltman
2019–20 Eredivisie,2019–20 AFC Ajax season,Bruno Varela (on loan from Benfica),Portuguese_Football_Federation,0,https://en.wikipedia.org/wiki/Bruno_Varela
2019–20 Eredivisie,2019–20 AFC Ajax season,Edson Álvarez,Mexican_Football_Federation,34,https://en.wikipedia.org/wiki/Edson_%C3%81lvarez
2019–20 Eredivisie,2019–20 AFC Ajax season,Noussair Mazraoui,Royal_Moroccan_Football_Federation,11,https://en.wikipedia.org/wiki/Noussair_Mazraoui
2019–20 Eredivisie,2019–20 AFC Ajax season,Dušan Tadić (captain),Football_Association_of_Serbia,73,https://en.wikipedia.org/wiki/Du%C5%A1an_Tadi%C4%87
2019–20 Eredivisie,2019–20 AFC Ajax season,Donny van de Beek,Royal_Dutch_Football_Association,17,https://en.wikipedia.org/wiki/Donny_van_de_Beek
2019–20 Eredivisie,2019–20 AFC Ajax season,Lisandro Martínez,Argentine_Football_Association,1,https://en.wikipedia.org/wiki/Lisandro_Mart%C3%ADnez
2019–20 Eredivisie,2019–20 AFC Ajax season,Zakaria Labyad,Royal_Moroccan_Football_Federation,0,https://en.wikipedia.org/wiki/Zakaria_Labyad
2019–20 Eredivisie,2019–20 AFC Ajax season,Jurgen Ekkelenkamp,Royal_Dutch_Football_Association,0,https://en.wikipedia.org/wiki/Jurgen_Ekkelenkamp
2019–20 Eredivisie,2019–20 AFC Ajax season,Daley Blind (vice-captain),Royal_Dutch_Football_Association,71,https://en.wikipedia.org/wiki/Daley_Blind
2019–20 Eredivisie,2019–20 AFC Ajax season,Răzvan Marin,Romanian_Football_Federation,25,https://en.wikipedia.org/wiki/R%C4%83zvan_Marin
2019–20 Eredivisie,2019–20 AFC Ajax season,Ryan Gravenberch,Royal_Dutch_Football_Association,0,https://en.wikipedia.org/wiki/Ryan_Gravenberch
2019–20 Eredivisie,2019–20 AFC Ajax season,Lassina Traoré,Burkinab%C3%A9_Football_Federation,11,https://en.wikipedia.org/wiki/Lassina_Traor%C3%A9
2019–20 Eredivisie,2019–20 AFC Ajax season,André Onana,Cameroonian_Football_Federation,18,https://en.wikipedia.org/wiki/Andr%C3%A9_Onana
2019–20 Eredivisie,2019–20 AFC Ajax season,Sergiño Dest,United_States_Soccer_Federation,5,https://en.wikipedia.org/wiki/Sergi%C3%B1o_Dest
2019–20 Eredivisie,2019–20 AFC Ajax season,Kjell Scherpen,Royal_Dutch_Football_Association,0,https://en.wikipedia.org/wiki/Kjell_Scherpen
2019–20 Eredivisie,2019–20 AFC Ajax season,Nicolás Tagliafico,Argentine_Football_Association,28,https://en.wikipedia.org/wiki/Nicol%C3%A1s_Tagliafico
2019–20 Eredivisie,2019–20 AFC Ajax season,Dominik Kotarski,Croatian_Football_Federation,0,https://en.wikipedia.org/wiki/Dominik_Kotarski
