League,Team,Player,Country,Appearances,URL
2019-20 Ligue 1,2019–20 Amiens SC season,Arturo Calabresi (on loan from Bologna),Italian_Football_Federation,0,https://en.wikipedia.org/wiki/Arturo_Calabresi
2019-20 Ligue 1,2019–20 Amiens SC season,Régis Gurtner (Vice-captain),French_Football_Federation,0,https://en.wikipedia.org/wiki/R%C3%A9gis_Gurtner
2019-20 Ligue 1,2019–20 Amiens SC season,Nicholas Opoku (on loan from Udinese),Ghana_Football_Association,0,https://en.wikipedia.org/wiki/Nicholas_Opoku
2019-20 Ligue 1,2019–20 Amiens SC season,Thomas Monconduit (3rd captain),French_Football_Federation,0,https://en.wikipedia.org/wiki/Thomas_Monconduit
2019-20 Ligue 1,2019–20 Amiens SC season,Eddy Gnahoré,French_Football_Federation,0,https://en.wikipedia.org/wiki/Eddy_Gnahor%C3%A9
2019-20 Ligue 1,2019–20 Amiens SC season,Prince-Désir Gouano (Captain),French_Football_Federation,0,https://en.wikipedia.org/wiki/Prince-D%C3%A9sir_Gouano
2019-20 Ligue 1,2019–20 Amiens SC season,Juan Ferney Otero,Colombian_Football_Federation,0,https://en.wikipedia.org/wiki/Juan_Ferney_Otero
2019-20 Ligue 1,2019–20 Amiens SC season,Serhou Guirassy,French_Football_Federation,0,https://en.wikipedia.org/wiki/Serhou_Guirassy
2019-20 Ligue 1,2019–20 Amiens SC season,Bongani Zungu,South_African_Football_Association,30,https://en.wikipedia.org/wiki/Bongani_Zungu
2019-20 Ligue 1,2019–20 Amiens SC season,Bakaye Dibassy,Malian_Football_Federation,4,https://en.wikipedia.org/wiki/Bakaye_Dibassy
2019-20 Ligue 1,2019–20 Amiens SC season,Haitam Aleesami,Norwegian_Football_Federation,31,https://en.wikipedia.org/wiki/Haitam_Aleesami
2019-20 Ligue 1,2019–20 Amiens SC season,Saman Ghoddos,Football_Federation_Islamic_Republic_of_Iran,22,https://en.wikipedia.org/wiki/Saman_Ghoddos
2019-20 Ligue 1,2019–20 Amiens SC season,Christophe Jallet,French_Football_Federation,0,https://en.wikipedia.org/wiki/Christophe_Jallet
2019-20 Ligue 1,2019–20 Amiens SC season,Matthieu Dreyer,French_Football_Federation,0,https://en.wikipedia.org/wiki/Matthieu_Dreyer
2019-20 Ligue 1,2019–20 Amiens SC season,Alexis Blin,French_Football_Federation,0,https://en.wikipedia.org/wiki/Alexis_Blin
2019-20 Ligue 1,2019–20 Amiens SC season,Gaël Kakuta,Congolese_Association_Football_Federation,0,https://en.wikipedia.org/wiki/Ga%C3%ABl_Kakuta
2019-20 Ligue 1,2019–20 Amiens SC season,Moussa Konaté,Senegalese_Football_Federation,31,https://en.wikipedia.org/wiki/Moussa_Konat%C3%A9_(footballer)
2019-20 Ligue 1,2019–20 Angers SCO season,Angelo Fulgini,French_Football_Federation,0,https://en.wikipedia.org/wiki/Angelo_Fulgini
2019-20 Ligue 1,2019–20 Angers SCO season,Pierrick Capelle,French_Football_Federation,0,https://en.wikipedia.org/wiki/Pierrick_Capelle
2019-20 Ligue 1,2019–20 Angers SCO season,Thomas Mangani (3rd captain),French_Football_Federation,0,https://en.wikipedia.org/wiki/Thomas_Mangani
2019-20 Ligue 1,2019–20 Angers SCO season,Haithem Loucif,Algerian_Football_Federation,0,https://en.wikipedia.org/wiki/Haithem_Loucif
