League,Team,Player,Country,Appearances,URL
Major League Soccer,2019 Atlanta United FC season,Brendan Moore,United_States,0,https://en.wikipedia.org/wiki/Brendan_Moore
Major League Soccer,2019 Atlanta United FC season,Alec Kann,United_States,0,https://en.wikipedia.org/wiki/Alec_Kann
Major League Soccer,2019 Atlanta United FC season,Franco Escobar,Argentina,0,https://en.wikipedia.org/wiki/Franco_Escobar
Major League Soccer,2019 Atlanta United FC season,George Bello (HGP),United_States,0,https://en.wikipedia.org/wiki/George_Bello
Major League Soccer,2019 Atlanta United FC season,Leandro González Pírez,Argentina,0,https://en.wikipedia.org/wiki/Leandro_Gonz%C3%A1lez_P%C3%ADrez
Major League Soccer,2019 Atlanta United FC season,Florentin Pogba,Guinea,0,https://en.wikipedia.org/wiki/Florentin_Pogba
Major League Soccer,2019 Atlanta United FC season,Miles Robinson (GA),United_States,0,https://en.wikipedia.org/wiki/Miles_Robinson_(soccer)
Major League Soccer,2019 Atlanta United FC season,Mikey Ambrose,United_States,0,https://en.wikipedia.org/wiki/Mikey_Ambrose
Major League Soccer,2019 Atlanta United FC season,Ezequiel Barco (DP),Argentina,0,https://en.wikipedia.org/wiki/Ezequiel_Barco
Major League Soccer,2019 Atlanta United FC season,Michael Parkhurst (Captain),United_States,25,https://en.wikipedia.org/wiki/Michael_Parkhurst
Major League Soccer,2019 Atlanta United FC season,Eric Remedi,Argentina,0,https://en.wikipedia.org/wiki/Eric_Remedi
Major League Soccer,2019 Atlanta United FC season,Chris Goslin (HGP),United_States,0,https://en.wikipedia.org/wiki/Chris_Goslin
Major League Soccer,2019 Atlanta United FC season,Héctor Villalba,Paraguay,1,https://en.wikipedia.org/wiki/H%C3%A9ctor_Villalba
Major League Soccer,2019 Atlanta United FC season,Brek Shea,United_States,34,https://en.wikipedia.org/wiki/Brek_Shea
Major League Soccer,2019 Atlanta United FC season,Darlington Nagbe,United_States,25,https://en.wikipedia.org/wiki/Darlington_Nagbe
Major League Soccer,2019 Atlanta United FC season,Pity Martínez (DP),Argentina,0,https://en.wikipedia.org/wiki/Pity_Mart%C3%ADnez
Major League Soccer,2019 Atlanta United FC season,Justin Meram,Iraq,33,https://en.wikipedia.org/wiki/Justin_Meram
Major League Soccer,2019 Atlanta United FC season,Brad Guzan (3rd Captain),United_States,0,https://en.wikipedia.org/wiki/Brad_Guzan
Major League Soccer,2019 Atlanta United FC season,Dion Pereira,England,0,https://en.wikipedia.org/wiki/Dion_Pereira
Major League Soccer,2019 Atlanta United FC season,Jeff Larentowicz (Vice Captain),United_States,0,https://en.wikipedia.org/wiki/Jeff_Larentowicz
Major League Soccer,2019 Atlanta United FC season,Emerson Hyndman,United_States,2,https://en.wikipedia.org/wiki/Emerson_Hyndman
Major League Soccer,2019 Atlanta United FC season,Andrew Carleton (HGP),United_States,0,https://en.wikipedia.org/wiki/Andrew_Carleton
Major League Soccer,2019 Atlanta United FC season,Julian Gressel,Germany,0,https://en.wikipedia.org/wiki/Julian_Gressel
Major League Soccer,2019 Atlanta United FC season,Luiz Fernando,Brazil,0,https://en.wikipedia.org/wiki/Luiz_Fernando_Nascimento
Major League Soccer,2019 Atlanta United FC season,Mo Adams (GA),England,0,https://en.wikipedia.org/wiki/Mo_Adams
Major League Soccer,2019 Atlanta United FC season,Kevin Kratz,Germany,0,https://en.wikipedia.org/wiki/Kevin_Kratz
Major League Soccer,2019 Atlanta United FC season,Brandon Vázquez,United_States,0,https://en.wikipedia.org/wiki/Brandon_Vazquez
Major League Soccer,2019 Atlanta United FC season,Josef Martínez (DP),Venezuela,51,https://en.wikipedia.org/wiki/Josef_Mart%C3%ADnez
Major League Soccer,2019 Chicago Fire season,Marcelo,Brazil,0,"https://en.wikipedia.org/wiki/Marcelo_(footballer,_born_1989)"
Major League Soccer,2019 Chicago Fire season,David Ousted,Denmark,0,https://en.wikipedia.org/wiki/David_Ousted
Major League Soccer,2019 Chicago Fire season,Johan Kappelhof,Netherlands,0,https://en.wikipedia.org/wiki/Johan_Kappelhof
Major League Soccer,2019 Chicago Fire season,Przemysław Frankowski,Poland,0,https://en.wikipedia.org/wiki/Przemys%C5%82aw_Frankowski
Major League Soccer,2019 Chicago Fire season,Brandt Bronico,United_States,0,https://en.wikipedia.org/wiki/Brandt_Bronico
Major League Soccer,2019 Chicago Fire season,Raheem Edwards,Canada,4,https://en.wikipedia.org/wiki/Raheem_Edwards
Major League Soccer,2019 Chicago Fire season,Aleksandar Katai,Serbia,10,https://en.wikipedia.org/wiki/Aleksandar_Katai
Major League Soccer,2019 Chicago Fire season,Dax McCarty,United_States,0,https://en.wikipedia.org/wiki/Dax_McCarty
Major League Soccer,2019 Chicago Fire season,C. J. Sapong,United_States,0,https://en.wikipedia.org/wiki/C._J._Sapong
Major League Soccer,2019 Chicago Fire season,Amando Moreno,United_States,0,https://en.wikipedia.org/wiki/Amando_Moreno
Major League Soccer,2019 Chicago Fire season,Djordje Mihailovic,United_States,6,https://en.wikipedia.org/wiki/Djordje_Mihailovic
Major League Soccer,2019 Chicago Fire season,Diego Campos,Costa_Rica,0,https://en.wikipedia.org/wiki/Diego_Campos_(Costa_Rican_footballer)
Major League Soccer,2019 Chicago Fire season,Francisco Calvo,Costa_Rica,51,https://en.wikipedia.org/wiki/Francisco_Calvo
Major League Soccer,2019 Chicago Fire season,Cristian Martínez,Panama,0,https://en.wikipedia.org/wiki/Cristian_Mart%C3%ADnez_(Panamanian_footballer)
Major League Soccer,2019 Chicago Fire season,Jonathan Bornstein,United_States,38,https://en.wikipedia.org/wiki/Jonathan_Bornstein
Major League Soccer,2019 Chicago Fire season,Grant Lillard,United_States,0,https://en.wikipedia.org/wiki/Grant_Lillard
Major League Soccer,2019 Chicago Fire season,Stefan Cleveland,United_States,0,https://en.wikipedia.org/wiki/Stefan_Cleveland
Major League Soccer,2019 Chicago Fire season,Elliot Collier,New_Zealand,0,https://en.wikipedia.org/wiki/Elliot_Collier
Major League Soccer,2019 Chicago Fire season,Kenneth Kronholm,United_States,0,https://en.wikipedia.org/wiki/Kenneth_Kronholm
Major League Soccer,2019 Chicago Fire season,Gabriel Slonina,United_States,0,https://en.wikipedia.org/w/index.php?title=Gabriel_Slonina&action=edit&redlink=1
Major League Soccer,2019 Chicago Fire season,Michael Azira,Uganda,Total,https://en.wikipedia.org/wiki/Michael_Azira
Major League Soccer,2019 Chicago Fire season,Jeremiah Gutjahr,United_States,0,https://en.wikipedia.org/wiki/Jeremiah_Gutjahr
Major League Soccer,2019 Chicago Fire season,Andre Reynolds II,United_States,0,https://en.wikipedia.org/wiki/Andre_Reynolds_II
Major League Soccer,2019 Chicago Fire season,Fabian Herbers,Germany,0,https://en.wikipedia.org/wiki/Fabian_Herbers
Major League Soccer,2019 Chicago Fire season,Nicolás Gaitán,Argentina,16,https://en.wikipedia.org/wiki/Nicol%C3%A1s_Gait%C3%A1n
Major League Soccer,2019 Chicago Fire season,Richard Sánchez,Mexico,0,"https://en.wikipedia.org/wiki/Richard_S%C3%A1nchez_(footballer,_born_1994)"
Major League Soccer,2019 Chicago Fire season,Nemanja Nikolić,Hungary,0,"https://en.wikipedia.org/wiki/Nemanja_Nikoli%C4%87_(footballer,_born_1987)"
Major League Soccer,2019 Chicago Fire season,Bastian Schweinsteiger,Germany,121,https://en.wikipedia.org/wiki/Bastian_Schweinsteiger
Major League Soccer,2019 FC Cincinnati season,Mathieu Deplagne,France,0,https://en.wikipedia.org/wiki/Mathieu_Deplagne
Major League Soccer,2019 FC Cincinnati season,Jimmy Hague,United_States,0,https://en.wikipedia.org/wiki/Jimmy_Hague
Major League Soccer,2019 FC Cincinnati season,Spencer Richey,United_States,0,https://en.wikipedia.org/wiki/Spencer_Richey
Major League Soccer,2019 FC Cincinnati season,Greg Garza,United_States,0,https://en.wikipedia.org/wiki/Greg_Garza
Major League Soccer,2019 FC Cincinnati season,Maikel van der Werff,Netherlands,0,https://en.wikipedia.org/wiki/Maikel_van_der_Werff
Major League Soccer,2019 FC Cincinnati season,Alvas Powell,Jamaica,0,https://en.wikipedia.org/wiki/Alvas_Powell
Major League Soccer,2019 FC Cincinnati season,Przemysław Tytoń,Poland,0,https://en.wikipedia.org/wiki/Przemys%C5%82aw_Tyto%C5%84
Major League Soccer,2019 FC Cincinnati season,Leonardo Bertone,Switzerland,0,https://en.wikipedia.org/wiki/Leonardo_Bertone
