League,Team,Player,Country,Appearances,URL
Major League Soccer,2019 D.C. United season,Frédéric Brillant,France,0,https://en.wikipedia.org/wiki/Fr%C3%A9d%C3%A9ric_Brillant
Major League Soccer,2019 D.C. United season,Jalen Robinson,United_States,0,https://en.wikipedia.org/wiki/Jalen_Robinson
Major League Soccer,2019 D.C. United season,Donovan Pines,United_States,0,https://en.wikipedia.org/wiki/Donovan_Pines
Major League Soccer,2019 D.C. United season,Chris Odoi-Atsem,United_States,0,https://en.wikipedia.org/wiki/Chris_Odoi-Atsem
Major League Soccer,2019 D.C. United season,Marquinhos Pedroso,Brazil,0,https://en.wikipedia.org/wiki/Marquinhos_Pedroso
Major League Soccer,2019 D.C. United season,Earl Edwards Jr.,United_States,0,https://en.wikipedia.org/wiki/Earl_Edwards_Jr.
Major League Soccer,2019 D.C. United season,Joseph Mora,Costa_Rica,0,https://en.wikipedia.org/wiki/Joseph_Mora
Major League Soccer,2019 D.C. United season,Leonardo Jara,Argentina,0,https://en.wikipedia.org/wiki/Leonardo_Jara
Major League Soccer,2019 D.C. United season,Chris Seitz,United_States,0,https://en.wikipedia.org/wiki/Chris_Seitz
Major League Soccer,2019 D.C. United season,Bill Hamid,United_States,8,https://en.wikipedia.org/wiki/Bill_Hamid
Major League Soccer,2019 D.C. United season,Steve Birnbaum,United_States,11,https://en.wikipedia.org/wiki/Steve_Birnbaum
Major League Soccer,2019 D.C. United season,Oniel Fisher,Jamaica,0,https://en.wikipedia.org/wiki/Oniel_Fisher
Major League Soccer,2019 D.C. United season,Lucas Rodríguez,Argentina,0,"https://en.wikipedia.org/wiki/Lucas_Rodr%C3%ADguez_(footballer,_born_1997)"
Major League Soccer,2019 D.C. United season,Russell Canouse,United_States,0,https://en.wikipedia.org/wiki/Russell_Canouse
Major League Soccer,2019 D.C. United season,Luciano Acosta,Argentina,0,https://en.wikipedia.org/wiki/Luciano_Acosta
Major League Soccer,2019 D.C. United season,Ulises Segura,Costa_Rica,10,https://en.wikipedia.org/wiki/Ulises_Segura
Major League Soccer,2019 D.C. United season,Júnior Moreno,Venezuela,22,https://en.wikipedia.org/wiki/J%C3%BAnior_Moreno
Major League Soccer,2019 D.C. United season,Antonio Bustamante,United_States,0,https://en.wikipedia.org/wiki/Antonio_Bustamante
Major League Soccer,2019 D.C. United season,Paul Arriola,United_States,35,https://en.wikipedia.org/wiki/Paul_Arriola
Major League Soccer,2019 D.C. United season,Griffin Yow,United_States,0,https://en.wikipedia.org/wiki/Griffin_Yow
Major League Soccer,2019 D.C. United season,Gordon Wild,Germany,0,https://en.wikipedia.org/wiki/Gordon_Wild
Major League Soccer,2019 D.C. United season,Felipe,Brazil,0,https://en.wikipedia.org/wiki/Felipe_Campanholi_Martins
Major League Soccer,2019 D.C. United season,Emmanuel Boateng,Ghana,0,"https://en.wikipedia.org/wiki/Emmanuel_Boateng_(footballer,_born_1994)"
Major League Soccer,2019 D.C. United season,Quincy Amarikwa,United_States,0,https://en.wikipedia.org/wiki/Quincy_Amarikwa
Major League Soccer,2019 D.C. United season,Ola Kamara,Norway,15,https://en.wikipedia.org/wiki/Ola_Kamara
Major League Soccer,2019 D.C. United season,Wayne Rooney (c),England,120,https://en.wikipedia.org/wiki/Wayne_Rooney
Major League Soccer,2019 Portland Timbers season,Aljaž Ivačič (INT),Slovenia,0,https://en.wikipedia.org/wiki/Alja%C5%BE_Iva%C4%8Di%C4%8D
Major League Soccer,2019 Portland Timbers season,Kendall McIntosh,United_States,0,https://en.wikipedia.org/wiki/Kendall_McIntosh
Major League Soccer,2019 Portland Timbers season,Julio Cascante (INT),Costa_Rica,0,https://en.wikipedia.org/wiki/Julio_Cascante
Major League Soccer,2019 Portland Timbers season,Jeff Attinella (SEIL),United_States,0,https://en.wikipedia.org/wiki/Jeff_Attinella
Major League Soccer,2019 Portland Timbers season,Jorge Villafaña,United_States,0,https://en.wikipedia.org/wiki/Jorge_Villafa%C3%B1a
Major League Soccer,2019 Portland Timbers season,Jorge Moreira (INT) (L),Paraguay,17,https://en.wikipedia.org/wiki/Jorge_Moreira
Major League Soccer,2019 Portland Timbers season,Modou Jadama,The_Gambia,0,https://en.wikipedia.org/wiki/Modou_Jadama
Major League Soccer,2019 Portland Timbers season,Steve Clark,United_States,0,https://en.wikipedia.org/wiki/Steve_Clark_(soccer)
Major League Soccer,2019 Portland Timbers season,Bill Tuiloma (INT),New_Zealand,24,https://en.wikipedia.org/wiki/Bill_Tuiloma
Major League Soccer,2019 Portland Timbers season,Claude Dielna,France,0,https://en.wikipedia.org/wiki/Claude_Dielna
Major League Soccer,2019 Portland Timbers season,Marco Farfan (HG),United_States,0,https://en.wikipedia.org/wiki/Marco_Farfan
Major League Soccer,2019 Portland Timbers season,Zarek Valentin,United_States,0,https://en.wikipedia.org/wiki/Zarek_Valentin
Major League Soccer,2019 Portland Timbers season,Larrys Mabiala (INT),Democratic_Republic_of_the_Congo,0,https://en.wikipedia.org/wiki/Larrys_Mabiala
Major League Soccer,2019 Portland Timbers season,Sebastián Blanco (DP),Argentina,0,https://en.wikipedia.org/wiki/Sebasti%C3%A1n_Blanco
Major League Soccer,2019 Portland Timbers season,Tomás Conechny (INT) (L),Argentina,0,https://en.wikipedia.org/wiki/Tom%C3%A1s_Conechny
Major League Soccer,2019 Portland Timbers season,Cristhian Paredes (L),Paraguay,0,https://en.wikipedia.org/wiki/Cristhian_Paredes
Major League Soccer,2019 Portland Timbers season,Diego Chara,Colombia,0,https://en.wikipedia.org/wiki/Diego_Chara
Major League Soccer,2019 Portland Timbers season,Eryk Williamson (HG),United_States,0,https://en.wikipedia.org/wiki/Eryk_Williamson
Major League Soccer,2019 Portland Timbers season,Renzo Zambrano (INT),Venezuela,0,https://en.wikipedia.org/wiki/Renzo_Zambrano
Major League Soccer,2019 Portland Timbers season,Andrés Flores,El_Salvador,0,https://en.wikipedia.org/wiki/Andr%C3%A9s_Flores
Major League Soccer,2019 Portland Timbers season,Dairon Asprilla,Colombia,0,https://en.wikipedia.org/wiki/Dairon_Asprilla
Major League Soccer,2019 Portland Timbers season,Jeremy Ebobisse,United_States,0,https://en.wikipedia.org/wiki/Jeremy_Ebobisse
Major League Soccer,2019 Portland Timbers season,Brian Fernández (DP) (INT),Argentina,0,https://en.wikipedia.org/wiki/Brian_Fern%C3%A1ndez
Major League Soccer,2019 Portland Timbers season,Diego Valeri (DP) (C),Argentina,3,https://en.wikipedia.org/wiki/Diego_Valeri
Major League Soccer,2019 Portland Timbers season,Marvin Loría (INT),Costa_Rica,0,https://en.wikipedia.org/wiki/Marvin_Lor%C3%ADa
Major League Soccer,2019 Portland Timbers season,Andy Polo,Peru,17,https://en.wikipedia.org/wiki/Andy_Polo
Major League Soccer,2019 Portland Timbers season,Foster Langsdorf (HG),United_States,0,https://en.wikipedia.org/wiki/Foster_Langsdorf
2019â€“20 Eredivisie,2019–20 PEC Zwolle season,Xavier Mous,Netherlands,0,https://en.wikipedia.org/wiki/Xavier_Mous
2019â€“20 Eredivisie,2019–20 PEC Zwolle season,Vito van Crooy,Netherlands,0,https://en.wikipedia.org/wiki/Vito_van_Crooy
2019â€“20 Eredivisie,2019–20 PEC Zwolle season,Kenneth Paal,Netherlands,0,https://en.wikipedia.org/wiki/Kenneth_Paal
2019â€“20 Eredivisie,2019–20 PEC Zwolle season,Mustafa Saymak,Netherlands,0,https://en.wikipedia.org/wiki/Mustafa_Saymak
2019â€“20 Eredivisie,2019–20 PEC Zwolle season,Mike van Duinen,Netherlands,0,https://en.wikipedia.org/wiki/Mike_van_Duinen
2019â€“20 Eredivisie,2019–20 PEC Zwolle season,Yuta Nakayama,Japan,1,https://en.wikipedia.org/wiki/Yuta_Nakayama
2019â€“20 Eredivisie,2019–20 PEC Zwolle season,Bram van Polen,Netherlands,0,https://en.wikipedia.org/wiki/Bram_van_Polen
2019â€“20 Eredivisie,2019–20 PEC Zwolle season,Rico Strieder,Germany,0,https://en.wikipedia.org/wiki/Rico_Strieder
2019â€“20 Eredivisie,2019–20 PEC Zwolle season,Rick Dekker,Netherlands,0,https://en.wikipedia.org/wiki/Rick_Dekker
2019â€“20 Eredivisie,2019–20 PEC Zwolle season,Sam Kersten,Netherlands,0,https://en.wikipedia.org/wiki/Sam_Kersten
2019â€“20 Eredivisie,2019–20 PEC Zwolle season,Lennart Thy,Germany,0,https://en.wikipedia.org/wiki/Lennart_Thy
2019â€“20 Eredivisie,2019–20 PEC Zwolle season,Thomas Lam,Netherlands,Total,https://en.wikipedia.org/wiki/Thomas_Lam
2019â€“20 Eredivisie,2019–20 PEC Zwolle season,Dean Huiberts,Netherlands,0,https://en.wikipedia.org/wiki/Dean_Huiberts
2019â€“20 Eredivisie,2019–20 PEC Zwolle season,Dennis Johnsen,Norway,0,https://en.wikipedia.org/wiki/Dennis_Johnsen
2019â€“20 Eredivisie,2019–20 PEC Zwolle season,Michael Zetterer,Germany,0,https://en.wikipedia.org/wiki/Michael_Zetterer
2019â€“20 Eredivisie,2019–20 PEC Zwolle season,Etiënne Reijnen,Netherlands,0,https://en.wikipedia.org/wiki/Eti%C3%ABnne_Reijnen
2019â€“20 Eredivisie,2019–20 PEC Zwolle season,Pelle Clement,Netherlands,0,https://en.wikipedia.org/wiki/Pelle_Clement
2019â€“20 Eredivisie,2019–20 PEC Zwolle season,Sai van Wermeskerken,Japan,0,https://en.wikipedia.org/wiki/Sai_van_Wermeskerken
2019â€“20 Eredivisie,2019–20 PEC Zwolle season,Jarno Westerman,Netherlands,0,https://en.wikipedia.org/wiki/Jarno_Westerman
2019â€“20 Eredivisie,2019–20 PEC Zwolle season,Jarni Koorman,Netherlands,0,https://en.wikipedia.org/wiki/Jarni_Koorman
2019â€“20 Eredivisie,2019–20 PEC Zwolle season,Anthony Dekono,France,0,https://en.wikipedia.org/w/index.php?title=Anthony_Dekono&action=edit&redlink=1
2019â€“20 Eredivisie,2019–20 PEC Zwolle season,Marc Olivier Doue,France,0,https://en.wikipedia.org/wiki/Marc_Olivier_Doue
2019â€“20 Eredivisie,2019–20 PEC Zwolle season,Reza Ghoochannejhad,Iran,44,https://en.wikipedia.org/wiki/Reza_Ghoochannejhad
2019â€“20 Eredivisie,2019–20 PEC Zwolle season,Quinten van den Heerik,Netherlands,0,https://en.wikipedia.org/w/index.php?title=Quinten_van_den_Heerik&action=edit&redlink=1
2019â€“20 Eredivisie,2019–20 PEC Zwolle season,Destan Bajselmani,Netherlands,0,https://en.wikipedia.org/wiki/Destan_Bajselmani
2019â€“20 Eredivisie,2019–20 PEC Zwolle season,Mike Hauptmeijer,Netherlands,0,https://en.wikipedia.org/wiki/Mike_Hauptmeijer
